Dấu thời gian,1. Consent to participate (please tick all statements to continue),1. Which best describes you?,2. Prior familiarity with pathfinding algorithms,3. How often do you use visual learning tools for algorithms?,1. I felt confident about what the algorithm was doing while it was running.,"2. I understand the underlying logic and mathematical rules (e.g., heuristics, weights) that dictate this algorithm's choices.",3. I have a clear mental model of how this specific algorithm searches through a grid or graph.,"4.I can identify what makes this algorithm different from other search algorithms (e.g., heuristic-guided vs cost-based).",5. I can easily identify the most important variables this algorithm prioritizes to make its decisions,6. I am confident that I could explain how this algorithm works to someone else,1. I felt confident about what the algorithm was doing while it was running..1,"2. I understand the underlying logic and mathematical rules (e.g., heuristics, weights) that dictate this algorithm's choices..1",3. I have a clear mental model of how this specific algorithm searches through a grid or graph..1,"4. I can identify what makes this algorithm different from other search algorithms (e.g., heuristic-guided vs cost-based).",5. I can easily identify the most important variables this algorithm prioritizes to make its decisions.1,6. I am confident that I could explain how this algorithm works to someone else.1,"Overall, which learning method was easier for you to follow when learning how a pathfinding algorithm works?","If a complete beginner wanted to learn pathfinding, which learning method would you recommend first?","If you had only 15-30 minutes to learn a new pathfinding algorithm, which learning method would help you most?",This visualiser's features meet my learning needs.,I could use this visualiser successfully without much instruction.,This visualiser is easy to use.,This visualiser helped me understand the algorithm more effectively than theory alone.
02/03/2026 10:32:04,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Used in class before,Sometimes,3,2,3,3,2,3,5,4,5,5,5,4,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),4,5,5,5
02/03/2026 10:49:43,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Never heard of them,Never,4,4,4,3,3,3,3,3,3,3,3,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,3,3,3
02/03/2026 16:15:52,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",University Lecturer,Used in class before,Sometimes,4,5,5,5,4,5,4,4,5,5,4,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),5,4,4,5
02/03/2026 20:34:46,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Never heard of them,Never,1,1,1,1,1,1,1,1,1,1,1,1,No difference,No difference,No difference,1,1,1,1
02/03/2026 20:59:04,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Heard of them but not confident,Rarely,3,3,3,3,3,3,4,3,4,3,4,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),4,4,4,4
02/03/2026 21:12:41,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Used in class before,Often,3,3,4,4,4,4,4,4,3,4,3,5,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),4,3,4,3
03/03/2026 12:19:03,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Worker,Heard of them but not confident,Sometimes,3,3,3,3,3,3,5,5,5,5,5,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),4,4,5,5
03/03/2026 17:40:35,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Postgraduate,Used in class before,Sometimes,4,4,4,4,4,4,3,4,4,5,3,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,4,4,5
03/03/2026 17:42:01,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Heard of them but not confident,Rarely,3,3,3,3,3,3,3,3,3,3,3,3,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),No difference,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,1,4,2
03/03/2026 20:59:03,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Heard of them but not confident,Rarely,3,4,2,2,3,3,4,4,5,5,4,4,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,4,4,5
04/03/2026 14:55:57,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Never heard of them,Never,3,4,3,2,4,3,3,2,4,2,3,2,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,3,2,3
04/03/2026 15:01:16,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Used in class before,Often,3,1,5,2,1,4,3,1,4,2,5,1,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),No difference,1,1,2,4
05/03/2026 11:34:36,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Never heard of them,Rarely,3,3,4,4,4,4,4,3,4,3,4,3,No difference,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,4,3,4
05/03/2026 11:38:40,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Never heard of them,Sometimes,3,3,3,3,3,3,3,3,3,3,3,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,3,3,3
11/03/2026 20:32:29,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Heard of them but not confident,Rarely,4,3,5,3,4,3,4,3,3,5,3,4,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),4,4,3,4
12/03/2026 11:29:17,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Heard of them but not confident,Never,4,4,3,3,3,1,2,2,2,2,2,2,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,2,2,2
12/03/2026 11:30:00,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Never heard of them,Rarely,1,1,4,5,5,1,5,5,5,4,5,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),5,5,5,4
12/03/2026 11:30:54,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Never heard of them,Rarely,4,4,3,3,3,1,1,1,3,2,1,2,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),No difference,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),1,2,2,2
12/03/2026 11:31:55,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Self-learner (not currently studying CS),Used in class before,Sometimes,3,5,1,1,4,3,3,2,3,1,1,1,Tool-supported learning (interactive visualiser + Insight Panel explanations),No difference,No difference,5,4,4,5
12/03/2026 11:32:56,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Never heard of them,Rarely,2,2,3,1,4,4,2,2,4,2,2,4,No difference,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,2,2,1
12/03/2026 11:33:26,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Never heard of them,Never,5,5,5,5,5,5,5,5,5,5,5,5,No difference,No difference,No difference,5,5,5,5
12/03/2026 11:33:56,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Never heard of them,Often,5,4,4,4,5,5,5,4,4,3,4,3,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),No difference,5,4,4,4
12/03/2026 11:35:27,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Heard of them but not confident,Rarely,3,1,2,1,1,1,3,3,3,1,1,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),2,2,1,3
12/03/2026 11:39:23,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Never heard of them,Sometimes,1,4,4,2,3,1,3,3,2,1,2,4,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),1,2,3,1
12/03/2026 11:40:03,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Never heard of them,Sometimes,2,1,4,5,2,4,4,2,3,5,3,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),4,4,3,5
12/03/2026 11:48:57,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Never heard of them,Never,2,1,3,2,2,4,2,1,1,2,4,3,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),2,2,4,3
12/03/2026 11:49:24,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Postgraduate,Never heard of them,Rarely,4,4,3,3,3,4,5,5,5,5,5,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),5,4,3,3
12/03/2026 11:51:47,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Heard of them but not confident,Often,5,5,5,5,5,5,5,5,5,5,5,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),No difference,5,5,5,5
12/03/2026 11:54:30,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Never heard of them,Rarely,3,4,3,4,3,3,4,4,4,4,4,4,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),4,4,4,4
12/03/2026 12:03:28,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Heard of them but not confident,Rarely,3,3,3,3,3,3,3,3,3,3,3,3,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),3,3,3,3
12/03/2026 12:05:05,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 1 undergraduate,Heard of them but not confident,Sometimes,3,2,2,4,4,3,3,2,3,3,3,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,3,3,3
12/03/2026 12:07:52,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Used in class before,Sometimes,4,3,3,4,3,4,4,4,3,4,4,4,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),5,5,4,5
12/03/2026 12:21:47,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Postgraduate,Heard of them but not confident,Rarely,3,3,3,3,3,3,3,3,3,3,3,3,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,3,3,3
12/03/2026 13:01:45,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 3 undergraduate,Heard of them but not confident,Rarely,4,4,4,4,4,4,3,3,4,3,4,4,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),4,3,4,3
12/03/2026 13:02:30,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Heard of them but not confident,Sometimes,3,4,2,5,3,4,2,3,4,4,5,5,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),No difference,4,2,3,4
12/03/2026 13:06:19,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 4 / Final-year undergraduate,Never heard of them,Never,2,3,1,2,2,4,3,1,2,3,2,1,Tool-supported learning (interactive visualiser + Insight Panel explanations),Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),1,4,2,1
12/03/2026 15:12:32,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Year 2 undergraduate,Never heard of them,Never,1,1,1,1,1,1,1,1,1,1,1,1,Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),3,3,3,3
12/03/2026 17:45:30,"I understand participation is voluntary and I can withdraw at any time., I understand I will answer only rating and tick-box questions (no knowledge test)., I understand my responses will be anonymised., I consent to participate.",Postgraduate,Used in class before,Sometimes,4,3,5,3,5,2,5,3,4,4,2,5,Tool-supported learning (interactive visualiser + Insight Panel explanations),Traditional/theory-first learning (notes/lecture/textbook/pseudocode),Tool-supported learning (interactive visualiser + Insight Panel explanations),5,4,4,5
